Menu,Secondary Service Tone
"returns department can be reached by pressing 7. for any else inquiries, please press #.",#
"technical support inquiries, please press 9. For customer support, press 7.",7
"If you need support, please press 2. For billing, press *. returns inquiries, please press 3. quotes inquiries, please press 6.",6
"support inquiries, please press #. returns inquiries, please press 0. complaints inquiries, please press 9. For billing, press 8. Press 2 to speak with a customer support representative.",2
technical support department can be reached by pressing *. Press 9 to speak with a for any else representative.,9
"complaints inquiries, please press #. Press 6 to speak with a representatives representative.",6
"Press 2 to speak with a returns representative. If you need complaints, please press *. reservations inquiries, please press #.",#
"support inquiries, please press 6. complaints department can be reached by pressing 7. billing department can be reached by pressing 1. For reservations, press 3.",3
"support department can be reached by pressing 2. If you need estimates, please press 1.",1
"If you need technical support, please press *. For returns, press 8. For support, press 4. Press # to speak with a for any else representative.",#
"For returns, press #. Press 5 to speak with a complaints representative. Press 1 to speak with a reservations representative.",1
Press 8 to speak with a complaints representative. sales department can be reached by pressing 1.,1
"returns inquiries, please press 0. Press 2 to speak with a quotes representative.",2
"complaints inquiries, please press 9. technical support inquiries, please press 1. If you need billing, please press 4. support department can be reached by pressing *. customer support department can be reached by pressing 5.",5
"complaints inquiries, please press 4. reservations department can be reached by pressing *.",*
"technical support department can be reached by pressing 1. For complaints, press 0. For customer support, press *.",*
"For billing, press 7. If you need for any else, please press #.",#
"Press 9 to speak with a complaints representative. billing department can be reached by pressing 7. If you need support, please press 8. Press 3 to speak with a sales representative.",3
"Press 0 to speak with a support representative. If you need technical support, please press 1. If you need returns, please press 8. If you need complaints, please press 7. sales inquiries, please press *.",*
"For billing, press 3. For complaints, press #. If you need reservations, please press *.",*
"If you need technical support, please press 0. Press 2 to speak with a complaints representative. Press 3 to speak with a returns representative. If you need reservations, please press *.",*
"For technical support, press 0. Press 8 to speak with a reservations representative.",8
"If you need billing, please press 0. technical support department can be reached by pressing 5. customer support inquiries, please press 7.",7
"If you need billing, please press #. For support, press 0. If you need complaints, please press 2. For returns, press 3. If you need estimates, please press 5.",5
"technical support inquiries, please press 0. For billing, press 4. reservations department can be reached by pressing 1.",1
"For billing, press #. If you need technical support, please press 4. support department can be reached by pressing 6. Press 5 to speak with a sales representative.",5
"returns department can be reached by pressing 5. For complaints, press *. If you need representatives, please press 4.",4
"If you need complaints, please press #. support department can be reached by pressing 8. If you need technical support, please press 7. returns inquiries, please press 1. sales inquiries, please press 4.",4
"For technical support, press 6. Press 1 to speak with a complaints representative. For billing, press #. For returns, press 5. reservations department can be reached by pressing 7.",7
"billing inquiries, please press 2. Press 7 to speak with a complaints representative. estimates inquiries, please press *.",*
Press 2 to speak with a returns representative. representatives department can be reached by pressing 1.,1
"billing department can be reached by pressing 4. If you need technical support, please press *. complaints department can be reached by pressing 1. returns inquiries, please press 8. reservations department can be reached by pressing 0.",0
"support department can be reached by pressing #. If you need billing, please press 3. Press 8 to speak with a technical support representative. For sales, press 2.",2
"technical support inquiries, please press 7. representatives inquiries, please press 0.",0
"For returns, press 1. support inquiries, please press #. representatives department can be reached by pressing 6.",6
"support inquiries, please press 2. technical support department can be reached by pressing 8. Press * to speak with a returns representative. customer support department can be reached by pressing 5.",5
"support inquiries, please press *. If you need technical support, please press 3. Press 8 to speak with a representatives representative.",8
"technical support department can be reached by pressing 7. support department can be reached by pressing 4. sales inquiries, please press 5.",5
"If you need complaints, please press 6. If you need returns, please press 3. billing department can be reached by pressing 0. for any else inquiries, please press 7.",7
"If you need returns, please press 9. If you need sales, please press 5.",5
"Press 5 to speak with a billing representative. technical support inquiries, please press 6. sales inquiries, please press 0.",0
"For support, press *. complaints inquiries, please press 0. billing department can be reached by pressing #. Press 8 to speak with a returns representative. If you need estimates, please press 4.",4
"Press 0 to speak with a returns representative. Press 1 to speak with a billing representative. technical support department can be reached by pressing #. For estimates, press *.",*
"returns department can be reached by pressing 0. sales inquiries, please press *.",*
"billing inquiries, please press 0. If you need complaints, please press #. If you need returns, please press 5. If you need for any else, please press 7.",7
"technical support department can be reached by pressing 7. For reservations, press *.",*
"For returns, press *. If you need billing, please press 1. Press 9 to speak with a sales representative.",9
"For returns, press 3. Press 8 to speak with a support representative. If you need estimates, please press 2.",2
"For billing, press 4. For for any else, press 5.",5
"billing inquiries, please press 0. For sales, press 4.",4
"If you need returns, please press 5. technical support department can be reached by pressing *. billing department can be reached by pressing #. estimates department can be reached by pressing 4.",4
"returns department can be reached by pressing *. support department can be reached by pressing 9. If you need reservations, please press 3.",3
"Press 8 to speak with a returns representative. If you need technical support, please press 5. If you need billing, please press 2. Press 6 to speak with a representatives representative.",6
"support department can be reached by pressing 3. complaints department can be reached by pressing 9. billing department can be reached by pressing 4. For returns, press 8. Press 2 to speak with a quotes representative.",2
"support inquiries, please press 0. technical support department can be reached by pressing 2. For billing, press 6. If you need representatives, please press 5.",5
"technical support department can be reached by pressing #. complaints department can be reached by pressing 4. If you need for any else, please press 9.",9
"billing inquiries, please press #. support department can be reached by pressing 8. If you need returns, please press 1. quotes inquiries, please press 3.",3
Press * to speak with a complaints representative. Press # to speak with a support representative. representatives department can be reached by pressing 5.,5
"support inquiries, please press 5. For billing, press 3. complaints department can be reached by pressing *. returns department can be reached by pressing #. sales department can be reached by pressing 4.",4
"If you need returns, please press 1. For technical support, press *. If you need complaints, please press 9. If you need billing, please press 8. reservations inquiries, please press 4.",4
Press 6 to speak with a complaints representative. for any else department can be reached by pressing 0.,0
"complaints department can be reached by pressing 9. billing inquiries, please press *. If you need for any else, please press 8.",8
"billing department can be reached by pressing 9. If you need returns, please press 6. reservations inquiries, please press 8.",8
"Press 2 to speak with a billing representative. estimates inquiries, please press 7.",7
"returns department can be reached by pressing 7. If you need quotes, please press 0.",0
"If you need technical support, please press 5. estimates inquiries, please press 8.",8
"If you need complaints, please press 2. for any else inquiries, please press 3.",3
"complaints inquiries, please press 1. customer support department can be reached by pressing *.",*
"technical support department can be reached by pressing 4. support inquiries, please press 9. If you need reservations, please press *.",*
support department can be reached by pressing 8. Press 3 to speak with a complaints representative. Press 6 to speak with a technical support representative. customer support department can be reached by pressing 5.,5
"Press 1 to speak with a returns representative. For support, press *. If you need billing, please press 4. representatives department can be reached by pressing #.",#
Press 9 to speak with a complaints representative. technical support department can be reached by pressing 2. sales department can be reached by pressing 6.,6
"For technical support, press 8. Press 7 to speak with a complaints representative. If you need billing, please press 9. Press 1 to speak with a reservations representative.",1
"Press 0 to speak with a billing representative. complaints inquiries, please press 3. technical support inquiries, please press 9. If you need returns, please press 8. estimates department can be reached by pressing 5.",5
"Press 1 to speak with a complaints representative. Press 2 to speak with a support representative. billing department can be reached by pressing #. returns inquiries, please press 6. If you need for any else, please press 9.",9
"Press 3 to speak with a returns representative. quotes inquiries, please press 4.",4
complaints department can be reached by pressing 2. Press 9 to speak with a quotes representative.,9
"returns inquiries, please press 7. technical support department can be reached by pressing #. If you need support, please press 4. For complaints, press 2. quotes department can be reached by pressing 8.",8
"support department can be reached by pressing 2. Press 6 to speak with a complaints representative. For billing, press 4. For representatives, press 7.",7
"technical support inquiries, please press 2. Press 5 to speak with a billing representative. For complaints, press 9. Press * to speak with a representatives representative.",*
"Press 3 to speak with a billing representative. Press 4 to speak with a complaints representative. If you need support, please press *. sales inquiries, please press 5.",5
"If you need billing, please press 5. Press 8 to speak with a support representative. Press 6 to speak with a complaints representative. For reservations, press #.",#
"billing inquiries, please press *. If you need complaints, please press #. technical support department can be reached by pressing 7. If you need returns, please press 8. For customer support, press 3.",3
"If you need returns, please press 6. quotes department can be reached by pressing 4.",4
"technical support inquiries, please press 5. If you need support, please press 0. customer support department can be reached by pressing 4.",4
"technical support inquiries, please press 3. complaints department can be reached by pressing 1. customer support inquiries, please press 7.",7
"support department can be reached by pressing 1. billing inquiries, please press 2. For technical support, press 3. returns department can be reached by pressing 0. If you need for any else, please press 6.",6
"For technical support, press 2. returns department can be reached by pressing 9. For billing, press 0. Press 3 to speak with a representatives representative.",3
"For complaints, press 7. For billing, press 3. quotes department can be reached by pressing #.",#
"technical support department can be reached by pressing 0. For complaints, press 8. returns department can be reached by pressing 2. Press 5 to speak with a reservations representative.",5
"If you need technical support, please press 5. Press * to speak with a reservations representative.",*
complaints department can be reached by pressing 4. Press 0 to speak with a for any else representative.,0
"If you need technical support, please press 3. If you need billing, please press 8. complaints inquiries, please press 9. For returns, press 6. Press 5 to speak with a reservations representative.",5
complaints department can be reached by pressing 2. Press # to speak with a estimates representative.,#
"support inquiries, please press 6. For technical support, press #. For billing, press 5. Press 4 to speak with a representatives representative.",4
"If you need complaints, please press 9. returns inquiries, please press 5. For support, press 7. If you need technical support, please press 4. estimates department can be reached by pressing #.",#
"support department can be reached by pressing #. billing inquiries, please press 3. For complaints, press 1. for any else inquiries, please press 8.",8
"If you need support, please press 2. complaints department can be reached by pressing #. If you need returns, please press 5. customer support inquiries, please press 1.",1
"Press 5 to speak with a support representative. If you need quotes, please press 7.",7
"If you need billing, please press 3. If you need complaints, please press 7. support department can be reached by pressing 5. Press 8 to speak with a reservations representative.",8
"Press # to speak with a support representative. technical support inquiries, please press *. If you need billing, please press 2. If you need returns, please press 6. quotes department can be reached by pressing 7.",7
"If you need complaints, please press 5. If you need sales, please press 9.",9
Press 7 to speak with a returns representative. Press 8 to speak with a for any else representative.,8
"If you need technical support, please press 6. Press 5 to speak with a returns representative. quotes department can be reached by pressing 2.",2
"returns department can be reached by pressing 0. For complaints, press 9. If you need quotes, please press #.",#
"If you need technical support, please press 1. Press 6 to speak with a complaints representative. For reservations, press 0.",0
"billing inquiries, please press 0. complaints inquiries, please press 7. reservations department can be reached by pressing 9.",9
"Press 1 to speak with a support representative. If you need billing, please press 7. For technical support, press *. returns inquiries, please press 8. for any else inquiries, please press 5.",5
"billing inquiries, please press *. Press 3 to speak with a returns representative. Press 2 to speak with a support representative. If you need reservations, please press 7.",7
"returns department can be reached by pressing #. Press * to speak with a complaints representative. If you need billing, please press 7. Press 4 to speak with a estimates representative.",4
support department can be reached by pressing 0. estimates department can be reached by pressing 5.,5
"For returns, press 8. support department can be reached by pressing #. technical support inquiries, please press 5. If you need billing, please press 1. customer support department can be reached by pressing 3.",3
"Press * to speak with a returns representative. For representatives, press 0.",0
complaints department can be reached by pressing 4. estimates department can be reached by pressing 2.,2
"Press # to speak with a billing representative. For returns, press 5. complaints department can be reached by pressing 3. Press 1 to speak with a customer support representative.",1
"If you need technical support, please press 9. billing inquiries, please press 6. Press 8 to speak with a support representative. returns department can be reached by pressing *. For customer support, press 7.",7
"returns department can be reached by pressing 9. If you need estimates, please press 7.",7
support department can be reached by pressing *. Press 7 to speak with a billing representative. reservations department can be reached by pressing 5.,5
"For billing, press 5. For quotes, press 4.",4
"Press 8 to speak with a support representative. Press 9 to speak with a returns representative. complaints department can be reached by pressing 1. sales inquiries, please press 4.",4
"Press 2 to speak with a technical support representative. For billing, press 9. For complaints, press 6. If you need customer support, please press 4.",4
"For complaints, press 0. customer support department can be reached by pressing 3.",3
"complaints inquiries, please press 5. for any else department can be reached by pressing 7.",7
"complaints department can be reached by pressing 6. For returns, press 4. billing inquiries, please press 2. If you need support, please press 7. If you need customer support, please press *.",*
"Press 7 to speak with a support representative. billing inquiries, please press 4. For complaints, press 0. technical support department can be reached by pressing 3. For representatives, press 9.",9
"For returns, press 9. For support, press #. For billing, press 1. Press 2 to speak with a complaints representative. customer support inquiries, please press 8.",8
"support inquiries, please press 6. billing inquiries, please press 5. Press 8 to speak with a returns representative. For complaints, press 0. Press 9 to speak with a representatives representative.",9
"support inquiries, please press 3. technical support department can be reached by pressing 5. returns department can be reached by pressing 2. quotes department can be reached by pressing 9.",9
"Press 6 to speak with a returns representative. complaints inquiries, please press 8. Press * to speak with a reservations representative.",*
"billing inquiries, please press 3. returns department can be reached by pressing #. support department can be reached by pressing 9. technical support department can be reached by pressing 0. quotes department can be reached by pressing 6.",6
"If you need returns, please press 6. If you need support, please press 4. If you need customer support, please press 3.",3
"Press 3 to speak with a support representative. complaints inquiries, please press 5. billing inquiries, please press 1. representatives department can be reached by pressing 4.",4
"For billing, press 3. support inquiries, please press 9. Press 8 to speak with a complaints representative. If you need estimates, please press 7.",7
complaints department can be reached by pressing 0. Press 4 to speak with a support representative. customer support department can be reached by pressing 8.,8
"billing inquiries, please press 8. complaints department can be reached by pressing 4. returns inquiries, please press #. reservations inquiries, please press 6.",6
"returns inquiries, please press 6. For reservations, press #.",#
"support inquiries, please press #. Press 8 to speak with a complaints representative. Press 9 to speak with a estimates representative.",9
"If you need complaints, please press 4. Press * to speak with a technical support representative. billing department can be reached by pressing 6. support inquiries, please press 7. reservations inquiries, please press #.",#
"For billing, press 2. Press 5 to speak with a technical support representative. customer support inquiries, please press 3.",3
"If you need billing, please press 9. For support, press 6. complaints department can be reached by pressing 1. For representatives, press 2.",2
"complaints department can be reached by pressing #. If you need technical support, please press 8. support department can be reached by pressing 2. Press 9 to speak with a estimates representative.",9
"complaints inquiries, please press 4. Press 3 to speak with a technical support representative. For returns, press 6. For billing, press 0. If you need sales, please press 2.",2
"For returns, press 6. For support, press 8. Press 2 to speak with a technical support representative. sales inquiries, please press 0.",0
"support department can be reached by pressing 4. quotes inquiries, please press 1.",1
"If you need technical support, please press 6. If you need support, please press 0. Press 5 to speak with a complaints representative. For returns, press #. If you need quotes, please press 1.",1
"technical support department can be reached by pressing 4. billing inquiries, please press *. Press 3 to speak with a support representative. returns department can be reached by pressing 1. If you need for any else, please press #.",#
"Press 6 to speak with a billing representative. customer support inquiries, please press 0.",0
"If you need complaints, please press 6. returns inquiries, please press 8. For representatives, press 9.",9
support department can be reached by pressing 9. quotes department can be reached by pressing 4.,4
Press 2 to speak with a support representative. Press 6 to speak with a customer support representative.,6
"Press 3 to speak with a complaints representative. For returns, press 1. If you need support, please press 6. billing department can be reached by pressing 7. For sales, press *.",*
"billing inquiries, please press *. for any else department can be reached by pressing 6.",6
"For billing, press 6. quotes inquiries, please press 7.",7
"If you need technical support, please press 3. support department can be reached by pressing #. estimates inquiries, please press 8.",8
"If you need billing, please press 5. For technical support, press *. For support, press 1. complaints inquiries, please press 7. representatives inquiries, please press #.",#
"Press 8 to speak with a returns representative. billing inquiries, please press 9. For estimates, press #.",#
"billing department can be reached by pressing 6. If you need returns, please press 2. Press 8 to speak with a estimates representative.",8
"Press 3 to speak with a technical support representative. For returns, press 2. Press 7 to speak with a support representative. If you need billing, please press 1. representatives inquiries, please press 0.",0
"Press 7 to speak with a support representative. For technical support, press #. If you need complaints, please press 0. If you need returns, please press 3. customer support inquiries, please press 8.",8
"For complaints, press 8. technical support inquiries, please press *. Press 1 to speak with a support representative. customer support inquiries, please press 4.",4
"technical support inquiries, please press 5. If you need support, please press 3. sales inquiries, please press 4.",4
"support inquiries, please press 1. complaints inquiries, please press 8. If you need representatives, please press 2.",2
"Press 8 to speak with a technical support representative. support department can be reached by pressing 2. complaints inquiries, please press 4. For reservations, press *.",*
"If you need support, please press 6. If you need billing, please press #. returns inquiries, please press 2. For sales, press 8.",8
"complaints inquiries, please press 3. Press 8 to speak with a technical support representative. If you need billing, please press 4. Press 9 to speak with a estimates representative.",9
"Press 7 to speak with a technical support representative. billing department can be reached by pressing 2. If you need returns, please press #. customer support department can be reached by pressing 3.",3
"For technical support, press 1. If you need returns, please press 0. For support, press 6. If you need representatives, please press 5.",5
"For billing, press 6. For returns, press 3. Press # to speak with a complaints representative. Press 0 to speak with a technical support representative. quotes inquiries, please press 2.",2
"If you need billing, please press *. customer support inquiries, please press #.",#
"complaints department can be reached by pressing 8. Press 0 to speak with a support representative. If you need returns, please press *. For technical support, press 4. reservations inquiries, please press 7.",7
"technical support department can be reached by pressing #. For complaints, press 2. billing inquiries, please press 8. Press 3 to speak with a estimates representative.",3
"Press * to speak with a returns representative. For technical support, press 6. If you need complaints, please press 2. For estimates, press 4.",4
"returns inquiries, please press 6. billing department can be reached by pressing 3. For complaints, press 4. support inquiries, please press *. representatives inquiries, please press 7.",7
Press 1 to speak with a technical support representative. Press 7 to speak with a customer support representative.,7
"If you need technical support, please press 7. For returns, press #. For support, press 2. complaints inquiries, please press 3. sales inquiries, please press 0.",0
"If you need support, please press 4. complaints inquiries, please press 3. For returns, press 7. For technical support, press 2. For customer support, press *.",*
"Press 6 to speak with a support representative. Press 2 to speak with a technical support representative. If you need complaints, please press 9. representatives inquiries, please press 7.",7
"For support, press 2. Press 7 to speak with a returns representative. Press 1 to speak with a complaints representative. reservations department can be reached by pressing 5.",5
support department can be reached by pressing 2. Press 9 to speak with a complaints representative. estimates department can be reached by pressing *.,*
returns department can be reached by pressing 5. Press * to speak with a for any else representative.,*
"If you need technical support, please press 9. For returns, press 0. complaints department can be reached by pressing 6. For quotes, press 3.",3
"Press 4 to speak with a technical support representative. If you need support, please press 9. complaints department can be reached by pressing 7. estimates inquiries, please press 2.",2
"For support, press *. complaints inquiries, please press 5. Press # to speak with a billing representative. If you need for any else, please press 7.",7
"For complaints, press 5. Press * to speak with a billing representative. returns department can be reached by pressing 2. representatives department can be reached by pressing 7.",7
"complaints department can be reached by pressing 7. If you need quotes, please press 5.",5
Press 3 to speak with a technical support representative. representatives department can be reached by pressing 2.,2
"If you need technical support, please press #. If you need returns, please press 5. support department can be reached by pressing 2. estimates inquiries, please press 6.",6
technical support department can be reached by pressing #. sales department can be reached by pressing 7.,7
"Press 8 to speak with a support representative. billing inquiries, please press 5. complaints inquiries, please press 1. returns inquiries, please press 3. Press 0 to speak with a quotes representative.",0
"For technical support, press 3. If you need reservations, please press 4.",4
"technical support department can be reached by pressing 7. billing inquiries, please press 6. support department can be reached by pressing 1. Press 9 to speak with a returns representative. If you need representatives, please press #.",#
"For complaints, press 8. support department can be reached by pressing 7. returns department can be reached by pressing #. If you need technical support, please press 0. Press 5 to speak with a customer support representative.",5
"Press 8 to speak with a returns representative. complaints department can be reached by pressing 1. billing inquiries, please press 7. technical support department can be reached by pressing 6. Press 3 to speak with a representatives representative.",3
"If you need returns, please press 5. If you need complaints, please press 2. For estimates, press #.",#
"Press 4 to speak with a billing representative. returns department can be reached by pressing 6. If you need technical support, please press 8. If you need complaints, please press 3. customer support department can be reached by pressing 9.",9
"For billing, press 8. Press # to speak with a representatives representative.",#
"For returns, press #. For support, press 8. complaints department can be reached by pressing 4. billing department can be reached by pressing 7. quotes inquiries, please press 3.",3
"Press 6 to speak with a technical support representative. If you need representatives, please press 7.",7
"technical support inquiries, please press #. Press 5 to speak with a representatives representative.",5
"If you need returns, please press 8. technical support inquiries, please press 7. For support, press 4. billing inquiries, please press 3. quotes inquiries, please press #.",#
"For complaints, press 1. For returns, press 6. Press 7 to speak with a quotes representative.",7
"support inquiries, please press 9. complaints inquiries, please press 0. reservations inquiries, please press 4.",4
"support department can be reached by pressing 0. Press 1 to speak with a billing representative. For technical support, press 3. Press 7 to speak with a returns representative. for any else inquiries, please press *.",*
"Press * to speak with a technical support representative. For billing, press 8. support inquiries, please press #. Press 6 to speak with a for any else representative.",6
"billing department can be reached by pressing 7. For support, press 5. For complaints, press 8. returns department can be reached by pressing *. If you need quotes, please press 0.",0
"returns inquiries, please press 5. If you need support, please press 2. technical support inquiries, please press 4. For billing, press 0. For estimates, press 6.",6
Press 2 to speak with a returns representative. Press 6 to speak with a quotes representative.,6
"billing department can be reached by pressing 9. If you need estimates, please press 3.",3
"Press 2 to speak with a technical support representative. estimates inquiries, please press #.",#
"technical support department can be reached by pressing 2. For complaints, press *. If you need billing, please press 5. If you need support, please press 9. representatives department can be reached by pressing 7.",7
returns department can be reached by pressing #. reservations department can be reached by pressing 1.,1
"Press 6 to speak with a complaints representative. returns inquiries, please press 7. billing department can be reached by pressing #. technical support inquiries, please press 5. For for any else, press 8.",8
"billing inquiries, please press 2. Press 6 to speak with a quotes representative.",6
Press * to speak with a billing representative. quotes department can be reached by pressing 3.,3
"complaints inquiries, please press 5. For billing, press 4. returns department can be reached by pressing 2. For support, press #. If you need quotes, please press 3.",3
"billing inquiries, please press 2. returns inquiries, please press 9. technical support department can be reached by pressing 5. Press 8 to speak with a quotes representative.",8
"Press # to speak with a returns representative. Press 2 to speak with a billing representative. complaints inquiries, please press 9. customer support department can be reached by pressing 0.",0
"billing department can be reached by pressing 9. For technical support, press 6. Press 3 to speak with a customer support representative.",3
"For support, press 5. customer support inquiries, please press 9.",9
"support department can be reached by pressing #. If you need complaints, please press 2. For reservations, press 7.",7
"If you need billing, please press 3. Press 6 to speak with a complaints representative. If you need technical support, please press 7. If you need for any else, please press 9.",9
Press 2 to speak with a returns representative. representatives department can be reached by pressing 4.,4
"support inquiries, please press 1. For complaints, press 4. returns department can be reached by pressing 9. billing inquiries, please press 6. For estimates, press #.",#
"If you need technical support, please press 7. billing department can be reached by pressing 2. reservations department can be reached by pressing 4.",4
"support inquiries, please press 3. For technical support, press 7. If you need customer support, please press 4.",4
"For technical support, press 0. returns inquiries, please press 9. estimates department can be reached by pressing 5.",5
"billing inquiries, please press 6. technical support inquiries, please press 2. If you need complaints, please press *. If you need estimates, please press 5.",5
"complaints inquiries, please press #. Press 4 to speak with a support representative. returns department can be reached by pressing 3. billing inquiries, please press 8. For customer support, press 1.",1
"technical support department can be reached by pressing #. If you need support, please press 8. Press 6 to speak with a billing representative. representatives inquiries, please press 0.",0
"returns department can be reached by pressing 6. For representatives, press *.",*
Press 0 to speak with a complaints representative. Press 6 to speak with a reservations representative.,6
"For returns, press 9. Press 6 to speak with a support representative. Press 0 to speak with a billing representative. Press 2 to speak with a complaints representative. Press 5 to speak with a estimates representative.",5
"complaints department can be reached by pressing 1. billing inquiries, please press 3. returns inquiries, please press 4. estimates inquiries, please press 9.",9
"If you need technical support, please press 3. Press # to speak with a for any else representative.",#
"For billing, press 3. Press 8 to speak with a for any else representative.",8
Press * to speak with a technical support representative. returns department can be reached by pressing 0. representatives department can be reached by pressing 3.,3
"Press 4 to speak with a support representative. Press * to speak with a returns representative. technical support inquiries, please press 7. Press 9 to speak with a billing representative. If you need estimates, please press 2.",2
"Press * to speak with a complaints representative. If you need technical support, please press #. If you need billing, please press 5. sales inquiries, please press 6.",6
"If you need returns, please press 8. complaints inquiries, please press 0. technical support inquiries, please press 1. If you need reservations, please press 5.",5
"technical support inquiries, please press 1. support inquiries, please press 3. representatives inquiries, please press 5.",5
"technical support inquiries, please press 3. For representatives, press 1.",1
"support inquiries, please press 2. returns department can be reached by pressing *. If you need billing, please press 9. complaints department can be reached by pressing 5. reservations department can be reached by pressing 8.",8
"If you need complaints, please press 2. For estimates, press 8.",8
"For returns, press 4. support inquiries, please press 6. customer support inquiries, please press 5.",5
"complaints department can be reached by pressing 9. For billing, press 2. For support, press 8. returns department can be reached by pressing 7. quotes department can be reached by pressing 1.",1
"Press 6 to speak with a returns representative. If you need complaints, please press 5. technical support department can be reached by pressing 1. For quotes, press 2.",2
"If you need support, please press 2. technical support department can be reached by pressing 6. If you need estimates, please press 1.",1
"returns department can be reached by pressing 9. billing department can be reached by pressing 0. support inquiries, please press 4. Press 2 to speak with a estimates representative.",2
"For complaints, press *. reservations department can be reached by pressing 4.",4
"complaints inquiries, please press 8. Press 4 to speak with a billing representative. returns inquiries, please press 5. For representatives, press 0.",0
"Press 1 to speak with a returns representative. support department can be reached by pressing 0. Press 3 to speak with a complaints representative. If you need reservations, please press 9.",9
"returns department can be reached by pressing 9. For support, press 0. Press 7 to speak with a for any else representative.",7
"For technical support, press *. Press 6 to speak with a support representative. If you need complaints, please press 3. sales inquiries, please press 0.",0
"For technical support, press 8. Press * to speak with a returns representative. Press 2 to speak with a reservations representative.",2
technical support department can be reached by pressing 7. Press 0 to speak with a returns representative. sales department can be reached by pressing 9.,9
Press 0 to speak with a billing representative. technical support department can be reached by pressing 1. Press 9 to speak with a estimates representative.,9
"support department can be reached by pressing 6. If you need representatives, please press 0.",0
"support department can be reached by pressing 6. billing inquiries, please press 7. If you need technical support, please press 3. Press 0 to speak with a estimates representative.",0
"For billing, press *. If you need for any else, please press 5.",5
"If you need support, please press 0. complaints department can be reached by pressing 3. If you need technical support, please press 4. Press 1 to speak with a for any else representative.",1
"For returns, press 3. For support, press 5. For billing, press 4. Press * to speak with a for any else representative.",*
"Press 4 to speak with a returns representative. billing department can be reached by pressing 1. complaints inquiries, please press 9. technical support department can be reached by pressing 7. Press 3 to speak with a sales representative.",3
billing department can be reached by pressing 6. Press 0 to speak with a customer support representative.,0
"support inquiries, please press *. complaints department can be reached by pressing 8. technical support inquiries, please press 7. reservations department can be reached by pressing 1.",1
"For returns, press 3. For billing, press 1. If you need technical support, please press *. quotes department can be reached by pressing 7.",7
support department can be reached by pressing 7. representatives department can be reached by pressing 1.,1
"If you need returns, please press 2. For representatives, press #.",#
"If you need returns, please press 8. If you need technical support, please press 5. Press 4 to speak with a quotes representative.",4
"Press 5 to speak with a support representative. Press 2 to speak with a complaints representative. If you need returns, please press #. Press * to speak with a quotes representative.",*
"technical support inquiries, please press *. For returns, press 5. Press 8 to speak with a sales representative.",8
"support inquiries, please press 3. If you need billing, please press 7. complaints inquiries, please press 6. For estimates, press 5.",5
"technical support department can be reached by pressing 8. For billing, press 4. returns department can be reached by pressing 2. Press 5 to speak with a complaints representative. reservations department can be reached by pressing 1.",1
"Press 2 to speak with a complaints representative. For returns, press #. Press * to speak with a technical support representative. billing department can be reached by pressing 7. Press 3 to speak with a for any else representative.",3
"If you need technical support, please press 7. If you need representatives, please press 3.",3
"For billing, press #. For returns, press 2. If you need customer support, please press 9.",9
"technical support department can be reached by pressing 5. billing inquiries, please press 6. If you need returns, please press 8. If you need support, please press 1. For customer support, press 0.",0
"returns department can be reached by pressing 9. For technical support, press 0. If you need customer support, please press 8.",8
"support department can be reached by pressing #. Press 5 to speak with a billing representative. If you need returns, please press 1. complaints department can be reached by pressing *. sales inquiries, please press 7.",7
"If you need technical support, please press 8. If you need support, please press #. For complaints, press 5. returns department can be reached by pressing 7. customer support department can be reached by pressing 0.",0
"For support, press #. Press 8 to speak with a billing representative. representatives inquiries, please press 6.",6
"support inquiries, please press 1. If you need billing, please press 7. complaints department can be reached by pressing 8. technical support inquiries, please press 4. quotes inquiries, please press 3.",3
"billing department can be reached by pressing 9. If you need support, please press 7. technical support department can be reached by pressing 8. Press 3 to speak with a quotes representative.",3
"If you need support, please press 6. estimates inquiries, please press 7.",7
"returns department can be reached by pressing 9. For billing, press 2. technical support inquiries, please press #. quotes inquiries, please press *.",*
"For complaints, press 2. For support, press 3. Press 8 to speak with a billing representative. For estimates, press 4.",4
"If you need technical support, please press 0. billing department can be reached by pressing 4. For returns, press 7. support inquiries, please press 8. If you need customer support, please press 2.",2
"If you need billing, please press 1. technical support department can be reached by pressing #. For complaints, press 5. If you need sales, please press *.",*
"If you need complaints, please press *. billing inquiries, please press 5. If you need technical support, please press 6. Press 0 to speak with a for any else representative.",0
"returns inquiries, please press #. If you need complaints, please press 3. If you need technical support, please press 5. Press 7 to speak with a billing representative. If you need customer support, please press 8.",8
"returns inquiries, please press 9. billing inquiries, please press 1. technical support department can be reached by pressing 3. For customer support, press 7.",7
"billing department can be reached by pressing 3. technical support inquiries, please press 6. For complaints, press 9. support inquiries, please press 2. sales department can be reached by pressing 5.",5
Press 1 to speak with a technical support representative. Press 2 to speak with a returns representative. Press 4 to speak with a sales representative.,4
"returns department can be reached by pressing 4. If you need representatives, please press 1.",1
"Press 8 to speak with a technical support representative. returns inquiries, please press 1. billing department can be reached by pressing 3. If you need complaints, please press #. for any else department can be reached by pressing 5.",5
"For billing, press 6. Press 9 to speak with a complaints representative. If you need estimates, please press 5.",5
"For returns, press 1. For sales, press 5.",5
"If you need technical support, please press 0. Press 4 to speak with a returns representative. support department can be reached by pressing 2. complaints department can be reached by pressing 3. Press # to speak with a representatives representative.",#
